EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3461,Lincoln,Compton,18-Jul-19,01-Oct-21,Area Sales Manager,Tammy Conner,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Sales,General - Con,29-12-1997,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1
3463,Kayden,Dodson,30-Apr-20,18-Jul-21,Area Sales Manager,Jessica Peters,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Sales,Field Operations,21-06-1951,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1
3467,Celia,Curtis,06-May-20,,Area Sales Manager,Michael Odonnell,WBL,Active,Contract,Zone A,Part-Time,Unk,Sales,Fielders,14-05-1987,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,6
3480,Jerimiah,Harmon,08-Sep-22,16-Oct-22,Area Sales Manager,Eric King,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,Sales,Catv,09-08-1946,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,6
3483,Jaslene,Harding,26-Sep-21,,Area Sales Manager,Krystal Hamilton,SVG,Active,Part-Time,Zone B,Temporary,Unk,Sales,Project Management - Con,19-06-1964,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,6
3492,Vicente,Merritt,26-Nov-19,,Area Sales Manager,Ashley Smith,PL,Active,Full-Time,Zone C,Full-Time,Unk,Sales,General - Con,08-01-1993,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1
3497,Graham,Rodriguez,08-Dec-21,,Area Sales Manager,Kendra Murray,TNS,Active,Part-Time,Zone C,Temporary,Unk,Sales,Project Management - Con,18-02-1981,OR,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,6
3500,Nevaeh,Lucas,20-Nov-18,21-Jun-20,Area Sales Manager,Bryan Douglas,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Sales,Shop (Fleet),25-02-2000,TX,Mechanic,Female,80424,White,Divorced,Fully Meets,1
3502,Eugene,Marks,01-Oct-19,,Area Sales Manager,Angela Morris,BPC,Active,Full-Time,Zone C,Temporary,Unk,Sales,Splicing,29-06-1976,TX,Electrician,Male,49914,White,Married,Fully Meets,1
3505,Amaya,Hicks,29-Aug-20,,Area Sales Manager,Michael Wilkins,EW,Active,Contract,Zone B,Temporary,Unk,Sales,Field Operations,24-07-1943,IN,Groundman,Male,72324,Hispanic,Widowed,Fully Meets,1
3514,Alexus,Estes,15-Apr-20,,Area Sales Manager,April Randolph,BPC,Active,Full-Time,Zone B,Part-Time,Unk,Sales,Wireline Construction,03-01-1958,TX,Manager,Male,17419,Asian,Married,Fully Meets,1
3520,Caiden,Munoz,13-Dec-20,13-Jan-23,Area Sales Manager,Teresa Daniel,TNS,Active,Full-Time,Zone C,Temporary,Involuntary,Sales,Project Management - Con,01-03-1963,ND,Manager,Female,18983,Black,Divorced,Fully Meets,1
3522,Marques,Armstrong,02-Mar-20,,Area Sales Manager,Michael Nguyen,BPC,Active,Full-Time,Zone C,Part-Time,Unk,Sales,Splicing,12-10-1983,KY,Splicer,Female,34369,Other,Single,Fully Meets,1
3527,Ahmed,Hawkins,01-May-20,25-Feb-21,Area Sales Manager,Hannah Snyder,PL,Active,Full-Time,Zone B,Temporary,Retirement,Sales,Aerial,15-10-1974,CO,Lineman,Male,46645,Black,Married,Fully Meets,1
3531,Ronnie,Mayer,17-Jun-23,,Area Sales Manager,Dylan Blake,WBL,Active,Full-Time,Zone C,Full-Time,Unk,Sales,Project Management - Con,18-05-1943,CA,Project Manager,Male,18409,Black,Divorced,Fully Meets,1
3532,Marlon,Ford,14-Oct-21,,Area Sales Manager,Monique Anderson,EW,Active,Part-Time,Zone B,Full-Time,Unk,IT/IS,Wireless,27-11-1966,OR,Technician,Female,40306,Black,Widowed,Fully Meets,1
3542,Ellie,Gill,15-Apr-23,,Area Sales Manager,Amanda Knight,EW,Active,Contract,Zone A,Temporary,Unk,Sales,Field Operations,01-03-1948,IN,Manager,Male,45456,White,Married,Needs Improvement,1
3545,Ryann,Rubio,07-Mar-22,,Area Sales Manager,Andres Jones,EW,Active,Full-Time,Zone C,Temporary,Unk,IT/IS,Field Operations,28-01-1943,OR,Locator,Female,9733,Black,Widowed,Fully Meets,1
3546,Paris,Carr,31-Jul-21,27-Jan-23,Area Sales Manager,Jeffrey Huffman,CCDR,Active,Full-Time,Zone B,Part-Time,Voluntary,Sales,General - Con,14-07-1980,ND,Foreman,Male,35786,Hispanic,Widowed,Exceeds,1
3548,Sanaa,Glass,11-Jul-21,10-Oct-22,Area Sales Manager,Stephen Garcia,WBL,Active,Part-Time,Zone A,Full-Time,Resignation,Sales,General - Con,25-01-1964,KY,Technician,Female,40135,White,Single,Fully Meets,1
3550,Charlie,Atkinson,26-Nov-21,14-Oct-22,Area Sales Manager,Jennifer Hicks,SVG,Future Start,Part-Time,Zone C,Temporary,Resignation,Sales,Wireline Construction,26-03-1988,TX,Billing,Male,57754,White,Divorced,Fully Meets,1
3552,Harper,Ramos,16-Feb-20,03-Jun-20,Area Sales Manager,Maria Chan,PL,Active,Full-Time,Zone B,Full-Time,Retirement,Sales,Field Operations,11-08-1942,CO,Foreman,Male,28714,White,Single,Needs Improvement,1
